time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349820276605941,"seq: 112
stamp: 
  secs: 1644349820
  nsecs: 275599718
frame_id: ''",42.3441616,-71.083546,14.7,328375.02988705423,4690091.6778072575,19,T
1644349821279701805,"seq: 113
stamp: 
  secs: 1644349821
  nsecs: 276930093
frame_id: ''",42.3441716,-71.083536,14.7,328375.8808484317,4690092.768045494,19,T
1644349822278502815,"seq: 114
stamp: 
  secs: 1644349822
  nsecs: 276778936
frame_id: ''",42.3441816,-71.083526,14.6,328376.7318095524,4690093.858283826,19,T
1644349823279216222,"seq: 115
stamp: 
  secs: 1644349823
  nsecs: 276766777
frame_id: ''",42.3441916,-71.083516,14.4,328377.5827704186,4690094.948522254,19,T
1644349824278449972,"seq: 116
stamp: 
  secs: 1644349824
  nsecs: 277034282
frame_id: ''",42.3442016,-71.083506,14.3,328378.433731028,4690096.038760782,19,T
1644349825280422505,"seq: 117
stamp: 
  secs: 1644349825
  nsecs: 278939962
frame_id: ''",42.3442116,-71.083496,14.3,328379.2846913786,4690097.128999405,19,T
1644349826281529222,"seq: 118
stamp: 
  secs: 1644349826
  nsecs: 279749393
frame_id: ''",42.3442216,-71.083488,14.4,328379.97090163344,4690098.223275295,19,T
1644349827278699839,"seq: 119
stamp: 
  secs: 1644349827
  nsecs: 276131629
frame_id: ''",42.34423,-71.08348,14.5,328380.6527579762,4690099.139883312,19,T
1644349828277551391,"seq: 120
stamp: 
  secs: 1644349828
  nsecs: 276329278
frame_id: ''",42.34424,-71.08347,14.6,328381.50371762924,4690100.230122189,19,T
1644349829276875037,"seq: 121
stamp: 
  secs: 1644349829
  nsecs: 275491952
frame_id: ''",42.3442499,-71.083456,14.9,328382.6839044507,4690101.301182691,19,T
1644349830277816016,"seq: 122
stamp: 
  secs: 1644349830
  nsecs: 276266574
frame_id: ''",42.34426,-71.083445,15.3,328383.61751051096,4690102.400507501,19,T
1644349831277166390,"seq: 123
stamp: 
  secs: 1644349831
  nsecs: 276107072
frame_id: ''",42.3442683,-71.083433,15.6,328384.62859332224,4690103.297937467,19,T
1644349832276323260,"seq: 124
stamp: 
  secs: 1644349832
  nsecs: 275470733
frame_id: ''",42.3442766,-71.083421,15.8,328385.639675878,4690104.195367572,19,T
1644349833277262968,"seq: 125
stamp: 
  secs: 1644349833
  nsecs: 275945663
frame_id: ''",42.3442866,-71.083411,16.0,328386.4906341721,4690105.285607022,19,T
1644349834276003334,"seq: 126
stamp: 
  secs: 1644349834
  nsecs: 274659156
frame_id: ''",42.3442916,-71.083391,16.9,328388.15173563047,4690105.80044929,19,T
1644349835276718752,"seq: 127
stamp: 
  secs: 1644349835
  nsecs: 275100946
frame_id: ''",42.3443033,-71.083381,17.8,328389.00731895026,4690107.079461215,19,T
1644349836279538562,"seq: 128
stamp: 
  secs: 1644349836
  nsecs: 275978803
frame_id: ''",42.3443133,-71.08337,17.9,328389.9406511836,4690108.1676825825,19,T
1644349837282344528,"seq: 129
stamp: 
  secs: 1644349837
  nsecs: 280998229
frame_id: ''",42.34432,-71.083358,17.9,328390.9473788991,4690108.887445481,19,T
1644349838281661538,"seq: 130
stamp: 
  secs: 1644349838
  nsecs: 280489683
frame_id: ''",42.3443266,-71.083346,18.0,328391.9538343161,4690109.596104273,19,T
1644349839281056653,"seq: 131
stamp: 
  secs: 1644349839
  nsecs: 279566287
frame_id: ''",42.3443316,-71.083335,18.1,328392.8735613394,4690110.129113701,19,T
1644349840280704763,"seq: 132
stamp: 
  secs: 1644349840
  nsecs: 278606891
frame_id: ''",42.3443399,-71.083321,18.2,328394.0493913866,4690111.022508093,19,T
1644349841282898840,"seq: 133
stamp: 
  secs: 1644349841
  nsecs: 279284954
frame_id: ''",42.3443483,-71.083311,18.3,328394.8959942056,4690111.935080573,19,T
1644349842282204403,"seq: 134
stamp: 
  secs: 1644349842
  nsecs: 280375242
frame_id: ''",42.3443566,-71.083298,18.4,328395.9894489503,4690112.830493693,19,T
1644349843362383550,"seq: 135
stamp: 
  secs: 1644349843
  nsecs: 361279726
frame_id: ''",42.3443683,-71.083284,18.5,328397.17452893814,4690114.10143296,19,T
1644349844280918522,"seq: 136
stamp: 
  secs: 1644349844
  nsecs: 279840946
frame_id: ''",42.3443783,-71.08327,18.9,328398.35498313827,4690115.183600228,19,T
1644349845282258959,"seq: 137
stamp: 
  secs: 1644349845
  nsecs: 281034469
frame_id: ''",42.3443883,-71.083253,19.2,328399.7825610759,4690116.259712606,19,T
1644349846282293550,"seq: 138
stamp: 
  secs: 1644349846
  nsecs: 281345129
frame_id: ''",42.3443983,-71.083238,19.4,328401.0453892003,4690117.339861951,19,T
1644349847281380120,"seq: 139
stamp: 
  secs: 1644349847
  nsecs: 279892683
frame_id: ''",42.34441,-71.083225,19.7,328402.14809285675,4690118.612820362,19,T
1644349848281022125,"seq: 140
stamp: 
  secs: 1644349848
  nsecs: 279603242
frame_id: ''",42.3444233,-71.083213,19.9,328403.172774635,4690120.065465196,19,T
1644349849282305293,"seq: 141
stamp: 
  secs: 1644349849
  nsecs: 280914783
frame_id: ''",42.3444366,-71.083201,20.1,328404.19745600445,4690121.518110173,19,T
1644349850282116165,"seq: 142
stamp: 
  secs: 1644349850
  nsecs: 281084775
frame_id: ''",42.3444466,-71.08319,20.3,328405.13078402786,4690122.60633346,19,T
1644349851281160328,"seq: 143
stamp: 
  secs: 1644349851
  nsecs: 280250549
frame_id: ''",42.3444583,-71.083183,20.5,328405.7392385064,4690123.891402209,19,T
1644349852281922165,"seq: 144
stamp: 
  secs: 1644349852
  nsecs: 280343770
frame_id: ''",42.3444666,-71.083178,20.5,328406.17369325284,4690124.802963207,19,T
1644349853279952107,"seq: 145
stamp: 
  secs: 1644349853
  nsecs: 279461383
frame_id: ''",42.344465,-71.083178,20.5,328406.1693401527,4690124.625295265,19,T
1644349854283018981,"seq: 146
stamp: 
  secs: 1644349854
  nsecs: 281735897
frame_id: ''",42.344465,-71.083178,20.5,328406.1693401527,4690124.625295265,19,T
1644349855283364673,"seq: 147
stamp: 
  secs: 1644349855
  nsecs: 281001567
frame_id: ''",42.344465,-71.08318,20.5,328406.00459095516,4690124.629331841,19,T
1644349856282357523,"seq: 148
stamp: 
  secs: 1644349856
  nsecs: 281147241
frame_id: ''",42.344465,-71.08318,20.5,328406.00459095516,4690124.629331841,19,T
1644349857319369199,"seq: 149
stamp: 
  secs: 1644349857
  nsecs: 318078517
frame_id: ''",42.344465,-71.08318,20.5,328406.00459095516,4690124.629331841,19,T
1644349858322400744,"seq: 150
stamp: 
  secs: 1644349858
  nsecs: 319513082
frame_id: ''",42.344465,-71.08318,20.5,328406.00459095516,4690124.629331841,19,T
1644349859321751916,"seq: 151
stamp: 
  secs: 1644349859
  nsecs: 319354295
frame_id: ''",42.344465,-71.08318,20.5,328406.00459095516,4690124.629331841,19,T
